"GEO_ID","NAME","B17003_001E","B17003_001M","B17003_002E","B17003_002M","B17003_003E","B17003_003M","B17003_004E","B17003_004M","B17003_005E","B17003_005M","B17003_006E","B17003_006M","B17003_007E","B17003_007M","B17003_008E","B17003_008M","B17003_009E","B17003_009M","B17003_010E","B17003_010M","B17003_011E","B17003_011M","B17003_012E","B17003_012M","B17003_013E","B17003_013M","B17003_014E","B17003_014M","B17003_015E","B17003_015M","B17003_016E","B17003_016M","B17003_017E","B17003_017M","B17003_018E","B17003_018M","B17003_019E","B17003_019M","B17003_020E","B17003_020M","B17003_021E","B17003_021M","B17003_022E","B17003_022M","B17003_023E","B17003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Male","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!Bachelor's degree or higher","Estimate!!Total!!Income in the past 12 months below poverty level!!Female","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!Bachelor's degree or higher","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!Bachelor's degree or higher","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!Bachelor's degree or higher"
"0400000US27","Minnesota","3680784","884","287601","3870","122183","2093","26359","1014","43548","1281","34314","1080","17962","692","165418","2461","34547","1092","53263","1327","54148","1375","23460","1136","3393183","4065","1685314","2311","105798","2147","425228","3949","543344","3659","610944","4622","1707869","2661","85325","1787","384554","3449","573531","3712","664459","4712"
"0400000US28","Mississippi","1918537","1339","314859","5219","119530","2889","41735","1597","44322","1635","25291","1220","8182","707","195329","3391","54970","1991","67815","1886","58864","1792","13680","956","1603678","5498","773397","3078","112450","2557","241528","3958","246045","3400","173374","3200","830281","3575","88152","2030","224345","3214","286544","3424","231240","3274"
"0400000US29","Missouri","4038739","1728","445442","5674","182093","3027","49513","1380","67960","1607","44572","1572","20048","1020","263349","3937","62303","1831","94454","2436","78930","1865","27662","1145","3593297","6213","1746950","3585","155489","2785","547517","4681","518521","4538","525423","5692","1846347","4074","141483","2470","516956","4480","586896","4591","601012","5321"
"0400000US30","Montana","703878","814","76015","1941","33609","1243","5384","519","13269","745","10495","606","4461","453","42406","1185","5752","453","15550","877","14704","858","6400","625","627863","2178","314875","1510","19355","775","93526","1626","99955","1527","102039","1799","312988","1248","15885","824","81920","1664","106136","1848","109047","2025"
"0400000US31","Nebraska","1221095","766","105385","2440","42942","1271","10564","571","14314","750","12523","735","5541","555","62443","1596","13568","770","20389","891","21262","793","7224","559","1115710","2512","555697","1467","45652","1362","148326","2002","183683","1537","178036","1981","560013","1737","36004","1100","134720","1727","192830","1998","196459","2368"
"0400000US32","Nevada","1978116","483","223237","3725","97583","2216","22814","1133","33459","1419","28450","1241","12860","763","125654","2517","32622","1501","40863","1569","37620","1726","14549","902","1754879","3758","880192","2354","111039","2167","245627","3152","297955","3656","225571","2799","874687","2559","101883","2102","234706","3357","307205","3500","230893","2947"
"0400000US33","New Hampshire","937272","541","60230","1926","24581","1109","5866","581","9102","679","5536","563","4077","394","35649","1328","5571","480","12758","737","10921","653","6399","625","877042","1991","432369","1230","30085","1160","121355","1718","119650","1935","161279","2176","444673","1419","22851","1124","113063","2192","135143","2129","173616","2284"
"0400000US34","New Jersey","6043959","587","517677","6927","204697","4009","56953","2091","73313","2041","38943","1383","35488","1315","312980","4438","82878","2037","112526","2352","70234","2280","47342","1626","5526282","6991","2671062","4186","246034","3541","710496","6881","613247","5148","1101285","6768","2855220","4552","233673","3011","745134","6020","684350","4938","1192063","7108"
"0400000US35","New Mexico","1371773","984","222512","4183","96498","2504","30218","1531","30763","1407","24831","1290","10686","674","126014","2552","37548","1786","37079","1227","37703","1675","13684","842","1149261","4244","564010","2495","69653","1997","152685","2724","176931","2873","164741","2740","585251","2738","60438","1893","140839","2751","196350","2930","187624","2511"
"0400000US36","New York","13407227","1599","1618818","12007","651021","6391","208191","3241","211065","3819","129159","2743","102606","2151","967797","7900","302866","4502","302788","4181","218857","3386","143286","2981","11788409","12149","5690656","6704","645674","5586","1484927","8963","1411044","7317","2149011","12970","6097753","8086","623873","5512","1475096","8572","1528567","7075","2470217","12962"
"0400000US37","North Carolina","6776772","1858","815468","7638","326159","4425","110013","2636","109372","2883","72820","1902","33954","1216","489309","5100","130502","2814","153693","3135","153126","2826","51988","1609","5961304","8051","2870862","4754","337610","4634","757472","7022","854672","6391","921108","7071","3090442","5265","262258","4118","720793","5526","1024606","5419","1082785","7875"
"0400000US38","North Dakota","480942","681","39554","1607","17742","974","3675","462","6088","528","5441","561","2538","395","21812","931","4054","409","7632","654","7562","581","2564","304","441388","1718","227658","1174","15661","712","63272","1238","84951","1376","63774","1484","213730","978","10864","700","50608","1122","77588","1365","74670","1346"
"0400000US39","Ohio","7786677","1342","882859","8246","358752","4182","92038","2008","145564","2777","85181","2113","35969","1308","524107","5516","116672","2656","199911","3081","159754","3150","47770","1512","6903818","8479","3365811","4332","281997","3867","1127424","6578","947267","5852","1009123","7660","3538007","5705","255553","3240","1102060","6043","1080034","5997","1100360","8445"
"0400000US40","Oklahoma","2515750","852","311111","4032","126119","2520","33951","1295","50263","1377","30356","1107","11549","607","184992","2349","44868","1134","68583","1598","55569","1205","15972","761","2204639","4087","1084423","2706","118979","2044","339324","2956","333777","2740","292343","3021","1120216","2293","100712","1637","323533","2928","371859","3210","324112","2787"
"0400000US41","Oregon","2817594","846","321106","5012","139947","3115","28693","1367","42536","1822","45819","1431","22899","1216","181159","3017","35399","1391","52719","1592","64299","1842","28742","1063","2496488","4952","1229119","3140","111547","2859","281065","3793","410062","3736","426445","4249","1267369","3173","92508","2173","268181","3113","450482","3717","456198","3793"
"0400000US42","Pennsylvania","8744766","1075","877849","8316","353870","4787","88808","2508","151156","3192","68185","2064","45721","1582","523979","5187","116608","2513","217244","3117","127774","2864","62353","1870","7866917","8487","3822547","5011","326709","3768","1327844","7126","912935","5929","1255059","7056","4044370","5239","298556","2995","1347267","6696","1030367","5962","1368180","8740"
"0400000US44","Rhode Island","720945","410","76579","2179","30514","1362","9048","725","10516","787","6113","643","4837","543","46065","1348","12714","836","15460","996","12042","810","5849","495","644366","2243","312444","1406","33111","1310","89760","2101","79793","2035","109780","2136","331922","1377","29375","1222","87054","1803","93962","1802","121531","1660"
"0400000US45","South Carolina","3328763","1037","414560","7118","160842","3949","53383","2305","60842","2091","31228","1452","15389","884","253718","4303","68347","2215","89597","2234","72947","2083","22827","1082","2914203","7301","1400047","3979","161428","2941","412965","4079","413874","4287","411780","4687","1514156","4373","133310","2638","413645","3836","494021","4019","473180","5497"
"0400000US46","South Dakota","554618","704","56027","1703","23361","1033","5285","450","9605","739","5993","444","2478","299","32666","1199","7045","456","11683","750","10302","664","3636","525","498591","1978","252574","1189","18492","742","79573","1526","81184","1404","73325","1508","246017","1392","12990","728","67144","1538","85023","1450","80860","1603"
"0400000US47","Tennessee","4454925","1620","566309","8171","227810","4430","72543","2351","91010","2466","42592","1464","21665","1094","338499","4884","91339","2635","132063","3142","85820","2520","29277","1250","3888616","8661","1886921","4645","214878","3367","614132","5092","516733","4607","541178","4972","2001695","5323","185695","2807","599479","4743","608090","5223","608431","6429"
"0400000US48","Texas","17477047","2474","2055419","15122","820915","7328","307451","4960","244464","3969","169942","3605","99058","2675","1234504","10208","437345","6347","368127","5171","307459","4437","121573","2739","15421628","15757","7622384","7845","1132308","9616","1882490","10864","2198267","11517","2409319","15239","7799244","10639","1011407","7954","1824236","10171","2396878","11774","2566723","14625"
"0400000US49","Utah","1763432","751","137247","3734","56918","1711","10686","722","15699","903","18774","847","11759","745","80329","2495","16279","993","24442","1248","26764","1174","12844","792","1626185","3800","815231","1771","61639","1723","175898","2625","276009","3085","301685","3212","810954","2598","51567","1344","184904","2683","310369","3143","264114","3288"
"0400000US50","Vermont","434444","387","39127","1459","16418","878","3584","455","6482","550","3335","333","3017","281","22709","860","3826","387","8119","448","6445","604","4319","405","395317","1456","193311","953","14662","733","61513","1090","46774","1079","70362","1194","202006","906","9266","570","50096","1134","57031","1111","85613","1246"
"0400000US51","Virginia","5632974","2256","483533","6714","190597","3371","54324","1953","65448","1951","41797","1634","29028","1278","292936","4435","75615","2275","94623","2481","82355","2365","40343","1542","5149441","7702","2502266","4280","246386","3904","597106","5679","642856","4375","1015918","6984","2647175","4807","212258","3161","584600","4677","757998","5387","1092319","7643"
"0400000US54","West Virginia","1267065","839","183217","3312","76821","1921","24025","1092","33943","1377","13667","857","5186","557","106396","1984","25731","990","46389","1553","27152","1179","7124","604","1083848","3484","535820","2171","64239","1695","224206","2980","129638","2513","117737","2268","548028","2103","53425","1504","207566","2665","156893","2208","130144","2208"
"0400000US53","Washington","4946455","1067","458918","5992","197724","3682","41546","1677","58982","1787","63777","2172","33419","1263","261194","4044","53286","1843","73989","2124","93395","2167","40524","1649","4487537","6272","2232902","3963","181883","3052","494569","4713","718957","4893","837493","6457","2254635","4094","158525","2454","463165","4674","788389","5044","844556","5662"
